Facility name,Address,Borough,ZIP Code,Accessible,Facility type,latitude,longitude
Stavros Niarchos Foundation Library (SNFL).,455 5 Av,Manhattan,10016,Yes,Library,40.7517015,-73.9814773
Bronx Center Library,310 East Kingsbridge Rd,Bronx,10458,Yes,Library,40.8630928,-73.8945132
Petco Turtle Bay,991 2 Ave,Manhattan,10022,Yes,Other,40.746244,-73.9748182
Petco Forest Hills,9111 Metropolitan Ave,Queens,11374,Yes,Other,40.7118337,-73.8579153
Petco Jackson Heights,7507 31 Ave,Queens,11370,Yes,Other,,
Petco Rego Park,6135 Junction Blvd,Queens,11374,Yes,Other,40.7331921,-73.8632155
Petco Gateway Brooklyn,528 Gateway Dr,Brooklyn,11239,Yes,Other,40.6536542,-73.8710815
Petco Union Square,44 Union Square East,Manhattan,10003,Yes,Other,40.7363517,-73.9889315
Petco Brooklyn Sunset Park,241 37 St,Brooklyn,11232,Yes,Other,40.6801516,-73.9451589
Petco Ave Y Sheepshead,1610 Ave Y,Brooklyn,11235,Yes,Other,40.5900166,-73.953455
Petco 86th Lexington NY,1280 Lexington Ave,Manhattan,10028,Yes,Other,40.7799428,-73.9555452
Edie Windsor SAGE OAC -OLDER ADULTS ONLY,305 7th Ave,Manhattan,10001,Yes,Older Adult Center,40.746638,-73.993369
Roosevelt Island Library,524 Main St,Manhattan,10044,Yes,Library,40.7612485,-73.9502575
Jefferson Market Library,425 Avenue of the Americas,Manhattan,10011,Yes,Library,40.734588,-73.999192
Parkchester Library,1985 Westchester Av,Bronx,10462,Yes,Library,40.8337625,-73.8583547
Seward Park Library,192 East Broadway,Manhattan,10002,Yes,Library,40.7144978,-73.9885436
Grand Concourse Library,155 E 173 St,Bronx,10457,Yes,Library,40.8205859,-73.9175847
Central Library,89-11 Merrick Blvd,Queens,11411,Yes,Library,40.7078909,-73.7947101
Flushing Library,41-17 Main St,Queens,11355,Yes,Library,40.7578275,-73.8288632
Stephen A Schwarzman Building,476 5 Av,Manhattan,10018,Yes,Library,40.7533445,-73.9821524
Brooklyn Central Library,10 Grand Army Plz,Brooklyn,11238,No,Library,40.6721312,-73.9681891
Petco Little Neck,25451 Horace Harding Expy,Queens,11362,Yes,Other,40.7440704,-73.7689584
Petco Kingsbridge,193 W 237 St,Bronx,10463,Yes,Other,,
Petco Charleston,165 Bricktown Way Suite 1C,Staten Island,10309,Yes,Other,,
Petco College Point,13311 20 Ave,Queens,11356,Yes,Other,,
New Dorp Library,309 New Dorp La,Staten Island,10306,Yes,Library,40.5719316,-74.111957
Epiphany Library,228 E 23 St,Manhattan,10010,No,Library,40.7369852,-73.9787532
Harlem Library,9 W 124 St,Manhattan,10027,Yes,Library,40.8121344,-73.947926
Sixty-Seventh Street Library,328 E 67 St,Manhattan,10065,Yes,Library,40.7648882,-73.9595665
Mosholu Library,285 E 205 St,Bronx,10467,Yes,Library,,
Westchester Square Library,2521 Glebe Av,Bronx,10461,No,Library,40.8408867,-73.8467494
Yorkville Library,222 E 79 St,Manhattan,10021,No,Library,40.7736354,-73.9563849
