geoid,in_nyc,wbgt,svi,svi_heat,gi_count,indoor_count,gi_density,indoor_density,gi_s,indoor_s,adaptive_score,wbgt_s,svi_s,adaptive_vuln_s,chvi,chvi_class,area_sqmi,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4
BX0491,True,17.485324416599344,0.8506955090124146,0.7110371382918231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7509413991934369,1.0,1.0,0.9169804663978124,Very High,0.10083263772876075,0.8459292737715164,0.8586532451527576,0.8782253759664714,0.8199741411589132
BX0291,True,17.470995303585074,0.8506955090124146,0.7110371382918231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.737859577965692,1.0,1.0,0.9126198593218974,Very High,0.03338244439539661,0.8459292737715164,0.8586532451527576,0.8782253759664714,0.8199741411589132
BX0492,True,17.41654481295952,0.8506955090124146,0.7110371382918231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6881487840444536,1.0,1.0,0.8960495946814845,Very High,0.06679427053967969,0.8459292737715164,0.8586532451527576,0.8782253759664714,0.8199741411589132
BX0403,True,17.418069482375845,0.8506955090124146,0.7110371382918231,2.0,0.0,4.097520854414339,0.0,0.0059238134954049115,0.0,0.0029619067477024558,0.6895407371064424,1.0,0.994595240465568,0.8947119925240035,Very High,0.4881000173178768,0.8459292737715164,0.8586532451527576,0.8782253759664714,0.8199741411589132
BX0803,True,17.489781497452245,0.8506955090124146,0.7110371382918231,7.0,3.0,3.0984300987929263,1.327898613768397,0.004479421261279154,0.07555320297314855,0.04001631211721385,0.7550105090439347,1.0,0.926979961602071,0.8939968235486685,Very High,2.259208623982523,0.8459292737715164,0.8586532451527576,0.8782253759664714,0.8199741411589132
BX2691,True,17.408643063542794,0.8506955090124146,0.7110371382918231,7.0,0.0,3.852229831828178,0.0,0.005569194612054467,0.0,0.0027845973060272337,0.6809348502054864,1.0,0.9949187870782972,0.8919512124279279,Very High,1.817129378461296,0.8459292737715164,0.8586532451527576,0.8782253759664714,0.8199741411589132
BX1161,True,17.400918138523213,0.8506955090124146,0.7110371382918231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6738823489094712,1.0,1.0,0.891294116303157,Very High,0.4369466658800846,0.8459292737715164,0.8586532451527576,0.8782253759664714,0.8199741411589132
BX0391,True,17.40329061819061,0.8506955090124146,0.7110371382918231,1.0,0.0,4.397404909642784,0.0,0.0063573578937220565,0.0,0.0031786789468610283,0.6760483137423562,1.0,0.9941996839170335,0.8900826658864632,Very High,0.2274068503009957,0.8459292737715164,0.8586532451527576,0.8782253759664714,0.8199741411589132
BX0702,True,17.398571671679147,0.8506955090124146,0.7110371382918231,1.0,0.0,1.1354056798725634,0.0,0.001641463638175875,0.0,0.0008207318190879374,0.6717401325880323,1.0,0.9985023640167375,0.89008083220159,Very High,0.880742467407983,0.8459292737715164,0.8586532451527576,0.8782253759664714,0.8199741411589132
BX0401,True,17.462977009898964,0.8506955090124146,0.7110371382918231,5.0,1.0,5.259484075013159,1.0518968150026318,0.007603671549069723,0.05984957943827154,0.03372662549367063,0.7305392445683084,1.0,0.9384571101563102,0.8896654515748729,Very High,0.9506635876613982,0.8459292737715164,0.8586532451527576,0.8782253759664714,0.8199741411589132
BX0503,True,17.390529084768108,0.8506955090124146,0.7110371382918231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6643976205934637,1.0,1.0,0.8881325401978213,Very High,0.26468663229810757,0.8459292737715164,0.8586532451527576,0.8782253759664714,0.8199741411589132
