Facility name,Address,Borough,ZIP Code,Accessible,Facility type
Stavros Niarchos Foundation Library (SNFL).,455 5 Av,Manhattan,10016,Yes,Library
Bronx Center Library,310 East Kingsbridge Rd,Bronx,10458,Yes,Library
Petco Turtle Bay,991 2 Ave,Manhattan,10022,Yes,Other
Petco Forest Hills,9111 Metropolitan Ave,Queens,11374,Yes,Other
Petco Jackson Heights,7507 31 Ave,Queens,11370,Yes,Other
Petco Rego Park,6135 Junction Blvd,Queens,11374,Yes,Other
Petco Gateway Brooklyn,528 Gateway Dr,Brooklyn,11239,Yes,Other
Petco Union Square,44 Union Square East,Manhattan,10003,Yes,Other
Petco Brooklyn Sunset Park,241 37 St,Brooklyn,11232,Yes,Other
Petco Ave Y Sheepshead,1610 Ave Y,Brooklyn,11235,Yes,Other
Petco 86th Lexington NY,1280 Lexington Ave,Manhattan,10028,Yes,Other
Edie Windsor SAGE OAC -OLDER ADULTS ONLY,305 7th Ave,Manhattan,10001,Yes,Older Adult Center
Roosevelt Island Library,524 Main St,Manhattan,10044,Yes,Library
Jefferson Market Library,425 Avenue of the Americas,Manhattan,10011,Yes,Library
Parkchester Library,1985 Westchester Av,Bronx,10462,Yes,Library
Seward Park Library,192 East Broadway,Manhattan,10002,Yes,Library
Grand Concourse Library,155 E 173 St,Bronx,10457,Yes,Library
Central Library,89-11 Merrick Blvd,Queens,11411,Yes,Library
Flushing Library,41-17 Main St,Queens,11355,Yes,Library
Stephen A Schwarzman Building,476 5 Av,Manhattan,10018,Yes,Library
Brooklyn Central Library,10 Grand Army Plz,Brooklyn,11238,No,Library
Petco Little Neck,25451 Horace Harding Expy,Queens,11362,Yes,Other
Petco Kingsbridge,193 W 237 St,Bronx,10463,Yes,Other
Petco Charleston,165 Bricktown Way Suite 1C,Staten Island,10309,Yes,Other
Petco College Point,13311 20 Ave,Queens,11356,Yes,Other
New Dorp Library,309 New Dorp La,Staten Island,10306,Yes,Library
Epiphany Library,228 E 23 St,Manhattan,10010,No,Library
Harlem Library,9 W 124 St,Manhattan,10027,Yes,Library
Sixty-Seventh Street Library,328 E 67 St,Manhattan,10065,Yes,Library
Mosholu Library,285 E 205 St,Bronx,10467,Yes,Library
Westchester Square Library,2521 Glebe Av,Bronx,10461,No,Library
Yorkville Library,222 E 79 St,Manhattan,10021,No,Library
South Beach Library,21-15 Robin Rd,Staten Island,10305,Yes,Library
Mariners Harbor Library,206 South Av,Staten Island,10303,Yes,Library
Harry Belafonte - 115th Street Library,203 W 115th St,Manhattan,10026,Yes,Library
Webster Library,1465 York Av,Manhattan,10021,Yes,Library
Ottendorfer Library,135 2 Av,Manhattan,10003,No,Library
Stapleton,132 Canal St,Staten Island,10304,Yes,Library
Mulberry Street Library,10 Jersey St,Manhattan,10012,Yes,Library
Morris Park Library,985 Morris Park Av,Bronx,10462,Yes,Library
New Amsterdam Branch Library,9 Murray St,Manhattan,10007,Yes,Library
Columbus Library,742 10 Av,Manhattan,10019,Yes,Library
Morrisania Library,610 E 169 St,Bronx,10456,Yes,Library
St George Center Library,5 Central Av,Staten Island,10301,Yes,Library
Inwood Library (Temporary Location),4857 Broadway,Manhattan,10034,Yes,Library
Woodlawn Heights Library,4355 Katonah Av,Bronx,10470,Yes,Library
Wakefield Library,4100 Lowerre Pl,Bronx,10466,Yes,Library
Van Cortlandt Library,3882 Cannon Pl,Bronx,10463,Yes,Library
Mott Haven Library,321 E 140 St,Bronx,10454,Yes,Library
Kingsbridge Library,291 W 231 St,Bronx,10463,Yes,Library
Todt Hill-Westerleigh Library,2550 Victory Blvd,Staten Island,10314,Yes,Library
Charleston Library,225 Bricktown Way,Staten Island,10309,Yes,Library
West Farms Library,2085 Honeywell Av,Bronx,10460,Yes,Library
Bloomingdale Library,150 W 100 St,Manhattan,10025,Yes,Library
Eastchester Library,1385 East Gun Hill Rd,Bronx,10469,Yes,
Clason's Point Library,1215 Morrison Av,Bronx,10472,Yes,Library
Jerome Park Library,118 Eames Pl,Bronx,10468,Yes,Library
Ninety Sixth Street Library,112 E 96 St,Manhattan,10128,Yes,Library
Washington Heights,1000 St Nicholas Av,Manhattan,10032,Yes,Library
Macomb's Bridge Library,2633 Adam C Powell Blvd,Manhattan,10039,Yes,Library
Chatham Square Library,33 East Broadway,Manhattan,10002,Yes,Library
Tompkins Square Library,331 E 10 St,Manhattan,10009,Yes,Library
Francis Martin Library,2150 University Av,Bronx,10453,Yes,Library
High Bridge Library,78 W 168 St,Bronx,10452,Yes,Library
Baychester Library,2049 Asch Loop North,Bronx,10475,Yes,Library
